"","V1","V2"
"590","102-215-497-936-230","2"
"591","102-299-231-485-20X","2"
"592","102-380-910-691-361","4"
"593","102-590-921-559-273","3"
"594","102-684-065-194-095","1"
"595","102-805-782-762-647","2"
"596","103-286-115-762-912","2"
"597","103-678-114-900-300","3"
"598","104-109-870-855-476","3"
"599","104-810-886-064-658","3"
"600","106-064-719-158-957","3"
"601","106-284-569-265-355","2"
"602","106-414-491-069-620","2"
"603","107-188-835-457-613","3"
"604","107-390-616-512-079","2"
"605","107-419-964-775-170","2"
"606","108-007-092-968-56X","1"
"607","108-466-831-346-004","2"
"608","108-632-928-694-196","3"
"609","108-743-392-147-523","2"
"610","108-838-812-821-062","3"
"611","109-407-548-674-770","4"
"612","109-621-473-204-594","2"
"613","109-858-282-831-697","2"
"614","109-953-506-304-374","2"
"615","110-122-053-042-006","1"
"616","110-419-567-105-817","2"
"617","110-456-431-007-145","2"
"618","110-480-586-717-651","2"
"619","110-684-291-574-379","4"
"620","110-766-047-364-379","1"
"621","111-202-586-335-22X","2"
"622","111-240-676-326-172","4"
"623","111-288-588-656-115","2"
"624","111-298-852-298-484","3"
"625","111-370-959-189-230","2"
"626","111-462-313-158-345","2"
"627","111-528-391-156-029","4"
"628","111-596-480-904-29X","3"
"629","112-134-310-761-353","2"
"630","112-148-110-351-322","4"
"631","112-318-381-656-944","2"
"632","112-677-589-335-546","3"
"633","113-057-949-435-76X","2"
"634","113-092-517-841-944","3"
"635","113-225-847-396-026","3"
"636","113-365-099-387-283","4"
"637","113-790-282-907-897","4"
"638","114-480-653-531-829","3"
"639","114-537-516-364-782","2"
"640","114-583-662-648-553","1"
"641","114-634-177-859-258","2"
"642","114-772-538-209-249","2"
"643","115-123-313-615-824","1"
"644","115-634-765-197-007","3"
"645","116-145-842-005-662","1"
"646","116-384-645-347-944","4"
"647","116-686-021-356-360","2"
"648","117-074-543-175-080","2"
"649","117-119-858-150-626","1"
"650","117-168-591-103-863","1"
"651","117-295-274-138-001","4"
"652","117-346-312-542-660","2"
"653","117-346-746-995-202","1"
"654","118-271-355-706-365","4"
"655","118-802-906-666-129","2"
"656","118-968-501-495-114","4"
"657","119-209-557-350-650","1"
"658","119-352-383-206-342","4"
"659","120-256-806-131-465","1"
"660","120-415-215-905-081","2"
"661","120-461-617-171-612","2"
"662","120-888-002-829-986","2"
"663","121-065-354-641-96X","2"
"664","121-964-750-724-694","2"
"665","122-193-974-026-944","2"
"666","122-352-307-884-641","1"
"667","123-531-564-917-678","3"
"668","123-653-571-393-994","4"
"669","124-323-481-059-161","1"
"670","124-511-231-990-584","4"
"671","124-683-928-410-819","2"
"672","125-928-291-864-993","2"
"673","126-185-854-218-293","4"
"674","126-422-348-422-052","3"
"675","126-567-876-134-094","4"
"676","126-684-590-662-783","3"
"677","126-789-023-163-372","3"
"678","126-939-277-464-686","4"
"679","127-029-369-930-692","3"
"680","127-087-902-208-709","2"
"681","127-747-168-852-33X","4"
"682","128-130-250-855-94X","1"
"683","128-195-997-346-382","2"
"684","128-222-836-109-002","1"
"685","128-569-652-424-254","3"
"686","129-271-467-499-857","2"
"687","130-190-390-087-555","3"
"688","130-940-780-158-38X","2"
"689","131-060-331-668-772","3"
"690","132-023-219-315-516","2"
"691","132-380-117-709-640","3"
"692","132-500-714-910-311","3"
"693","132-653-145-372-847","1"
"694","132-898-566-034-905","1"
"695","133-025-020-758-454","1"
"696","133-071-632-276-656","2"
"697","133-129-238-971-043","4"
"698","133-144-836-475-512","4"
"699","133-199-519-838-349","1"
"700","133-215-158-664-466","4"
"701","133-226-105-390-194","1"
"702","133-252-955-828-163","3"
"703","133-817-779-828-150","2"
"704","134-388-309-968-363","2"
"705","134-797-888-874-528","4"
"706","135-233-059-071-616","3"
"707","135-879-091-021-910","2"
"708","135-883-559-011-411","1"
"709","136-078-117-326-445","2"
"710","137-972-679-760-190","1"
"711","138-775-105-233-520","2"
"712","139-650-568-208-695","4"
"713","139-786-158-737-829","3"
"714","140-027-482-120-642","1"
"715","140-815-034-308-497","4"
"716","141-452-852-502-431","3"
"717","141-759-936-693-745","4"
"718","144-256-716-712-726","3"
"719","144-608-109-036-89X","2"
"720","145-176-906-866-327","3"
"721","145-653-851-729-665","4"
"722","146-092-364-101-538","2"
"723","146-382-118-408-345","3"
"724","146-403-246-969-235","2"
"725","146-411-085-161-883","2"
"726","146-870-336-705-658","2"
"727","147-490-702-686-71X","1"
"728","147-602-317-956-860","2"
"729","148-789-623-443-683","4"
"730","149-413-492-041-721","2"
"731","149-431-649-896-445","4"
"732","149-576-635-066-202","4"
"733","149-751-397-612-305","3"
"734","150-083-888-912-972","3"
"735","150-539-908-471-485","2"
"736","151-839-862-865-403","4"
"737","154-215-584-559-505","3"
"738","154-386-144-197-99X","3"
"739","154-463-104-430-570","3"
"740","154-473-168-035-456","3"
"741","154-553-627-627-857","3"
"742","155-170-578-897-225","2"
"743","155-691-175-864-748","3"
"744","156-207-702-434-918","3"
"745","156-373-737-843-301","3"
"746","156-847-749-684-354","4"
"747","156-937-351-256-543","3"
"748","157-985-540-191-681","2"
"749","158-040-572-868-750","2"
"750","158-291-537-040-153","4"
"751","158-767-540-849-130","3"
"752","159-938-497-832-818","3"
"753","160-615-618-554-973","3"
"754","160-938-263-590-276","3"
"755","161-115-617-014-882","2"
"756","161-671-403-526-169","2"
"757","161-712-152-756-135","4"
"758","164-350-768-837-199","2"
"759","164-686-630-818-824","1"
"760","164-717-272-216-530","3"
"761","164-778-477-702-099","2"
"762","165-153-751-380-229","2"
"763","166-152-846-701-103","3"
"764","166-648-088-163-172","2"
"765","168-854-916-636-861","2"
"766","169-707-009-361-549","1"
"767","170-219-117-295-676","1"
"768","170-939-487-720-479","2"
"769","171-352-683-438-394","4"
"770","171-625-550-339-318","2"
"771","173-470-822-613-835","3"
"772","173-725-585-059-659","2"
"773","173-731-784-504-55X","4"
"774","174-123-111-681-073","3"
"775","174-841-365-777-135","2"
"776","177-223-877-096-350","2"
"777","178-269-210-302-70X","3"
"778","179-268-492-785-894","3"
"779","180-524-585-737-168","2"
"780","181-000-667-326-695","2"
"781","182-906-730-748-020","2"
"782","187-603-367-498-373","3"
"783","187-902-910-915-854","3"
"784","188-998-883-918-915","4"
"785","190-859-942-736-911","4"
"786","191-484-582-462-838","4"
"787","193-598-530-261-354","1"
"788","150-041-085-682-063","1"
"789","168-193-278-954-64X","1"
"790","188-482-898-782-603","1"
"791","141-101-347-131-583","2"
"792","186-231-509-533-744","2"
"793","126-035-649-918-481","2"
"794","171-878-434-704-088","2"
"795","175-196-769-643-19X","2"
"796","191-616-650-541-67X","4"
"797","195-845-264-042-244","3"
"798","144-455-119-852-490","1"
"799","197-430-645-554-460","2"
"800","192-182-455-331-555","4"
